Index,Platform,Year of first publishment,Articles,Article links,Age (for whom to be protected),For whom to use/control the safety features,WhoUseControl,SafetyFeatures,Problemarea,Content,Contact,Conduct,Contract,Circulation,Quotes
Meta78,Meta,2024,Confirming your age on Instagram,https://help.instagram.com/966909308115586/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=26,Teens (13-17),Platform,Platform,Age Verification,Platform Access,,,,ADDITIONAL_PROOF,,"We require people to be at least 13 years old to sign up for Instagram. In some regions, you may be required to confirm your age to continue using your account. You may also be required to verify your age to access certain features or to change your birthday on your account. You can confirm your age by providing your birthday, photo identification, and/or submitting a video selfie. You can learn more about confirming your age in Newsroom. If you need to confirm your age on Instagram, you’ll be asked for additional information to help us verify your age.
We partner with Yoti, a third party age verification service, to confirm people’s ages on Instagram. Yoti is verified by the Age Check Certification Scheme and is the leading age verification provider for several industries around the world including social media, gaming and age restricted e-commerce.
With Yoti, you can verify your age on Instagram by taking a video selfie or uploading your ID."
Meta90,Meta,2024,How Meta products and tools support age-appropriate experiences,https://about.meta.com/actions/safety/resource/f/871648470589685/,Teens (13-17),Platform,Platform,Age Verification,Platform Access,,,,AGE_DETECTION,,"Age verification tools
Our age verification tools, which are
accessible and privacy-preserving,
help us provide people on Instagram
with age-appropriate experiences.
Using AI to detect if someone
is an adult or teen
AI helps us better understand a
person’s age and is used to help
make sure teens are provided with
age-appropriate experiences. This
includes restricting teens from
accessing Facebook Dating, receiving
messages from unknown adults or
seeing restricted ad content."
Snapchat8_2_1_1,Snapchat,2024,Parent's Guide: Snapchat's Family Center,https://assets.ctfassets.net/gqgsr8avay9x/53kgZIyFD6i4TbPpgzK5r2/4e679d035e89ebda2ab1b47e1c9f1428/20220728_SNAP_FamilyCenter_ParentsGuide.pdf?lang=en-GB,Teens (13-17),Platform,Platform,Age Verification,Platform Access,,,,NO_UPDATING_BIRTHDAY_TO_ADULT,,We have safeguards against trying to circumvent our protections for minors. We prevent younger Snapchatters with existing accounts from updating their birthday to an age of 18 or above. We also use age-gating tools to prevent minors from viewing age-regulated content and ads.
TikTok6,TikTok,2020,Protecting against exploitative content,https://newsroom.tiktok.com/en-us/protecting-against-exploitative-content,ChildrenUnder18,Platform,Platform,Content Removal,Content Exposure,,FILTERING_RED_FLAG_LANGUAGE,"REPORTING_CONTENT, REPORTING_ACCOUNTS",,CONTENT_REMOVAL,"We prohibit content that depicts or disseminates child abuse, child nudity, or sexual exploitation of children in digital or real world format. If we become aware of any such content we will take immediate action to remove content, terminate accounts, and report cases to NCMEC and law enforcement as appropriate.  "
YouTube11,YouTube,2023,4 ways we’re empowering viewers of all ages to experience a safer internet,https://blog.youtube/news-and-events/empowering-viewers-of-all-ages-to-safer-internet/,ChildrenUnder13,Parents,Parents,Individual Kid Profile,Parental Supervision,,,,KID_PROFILE,,"YouTube Kids gives signed-in parents all the controls to customize the experience to the specific needs of their youngest kids. They can make a profile for each child with individual settings,"
YouTube14_1,YouTube,2021,YouTube Kids profile vs. Google Account for kids,https://support.google.com/youtubekids/answer/7555328,ChildrenUnder13,Parents,Parents,Individual Kid Profile,Parental Supervision,,,KID_PROFILE,,,"A YouTube Kids profile is a profile within a parent's Google Account. Profiles are available only when the parent is signed in to YouTube Kids with their Google Account.

te: You can’t set up Restricted Mode for your child if they:

Are over 13 (or the relevant age in your country/region), unless you created their supervised Google Account before they reached this age."
Snapchat15,Snapchat,2024,Our Work To Help Keep Snapchatters Safe,https://values.snap.com/news/keeping-snapchatters-safe?lang=en-US,Teens (13-17),Platform/Teen,Platform & Teens,Content Recommendation Restrictions,Content Exposure,,IN_CHAT_REPORTING,,,CONTENT_REMOVAL,"Last year we launched in-app chat text reporting – which enables Snapchatters to report individual messages directly from the conversation itself. We also expanded our in-app reporting tools to include a specific, tailored reporting reason for sextortion and, on advice and guidance from the CSEA-fighting NGO Thorn, presented that reporting option in relatable language for teens and young people (“They leaked / are threatening to leak my nudes”). "
YouTube24_1,YouTube,2020,Important info for parents about YouTube Kids,https://support.google.com/youtubekids/answer/6130561?hl=en&ref_topic=12984397#zippy=,ChildrenUnder13,Parents,Parents,Individual Kid Profile,Parental Supervision,,,KID_PROFILE,,,"YouTube Kids profiles
YouTube Kids allows signed in parents to create a separate profile for each kid in their household. Each profile has a separate set of viewing preferences and recommendations, allowing multiple kids to get the most out of the YouTube Kids app.
Profiles are available on devices where:

The parent is signed in, and
The YouTube Kids app is installed.
You can have up to eight profiles. Learn how to create a profile.

Note: You can also use YouTube Kids without signing in at all."
YouTube24_2,YouTube,2020,Create a YouTube Kids profile,https://support.google.com/youtubekids/answer/7554914?hl=en&ref_topic=12984597&sjid=6571883417605309189-NA,ChildrenUnder13,Parents,Parents,Individual Kid Profile,Parental Supervision,,,8_KID_PROFILE,,,"Create a profile
Kid profiles are only accessible within the YouTube Kids app and only when a parent is signed in. You can add up to 8 profiles per account."
YouTube2,YouTube,2019,An update on our efforts to protect minors and families,https://blog.youtube/news-and-events/an-update-on-our-efforts-to-protect/,ChildrenUnder18,Platform,Platform,Content Recommendation Restrictions,Content Exposure,,NO_COMMENT,,,REDUCED_RECOMMENDATION,"We updated enforcement of our live streaming policy to specifically disallow younger minors from live streaming unless they are clearly accompanied by an adult. Channels not in compliance with this policy may lose their ability to live stream. We also launched new classifiers (machine learning tools that help us identify specific types of content) on our live products to find and remove more of this content.

We disabled comments on tens of millions of videos featuring minors across the platform, to limit the risk of exploitation

We expanded our efforts from earlier this year around limiting recommendations of borderline content to include videos featuring minors in risky situations. While the content itself does not violate our policies, we recognize the minors could be at risk of online or offline exploitation"
TikTok63,TikTok,2025,Teen Safety Center,https://www.tiktok.com/safety/en/youth-portal-1,ChildrenUnder16,Platform,Platform,Content Collaboration Restrictions,Content Creation,,"NO_DUET_NO_STITCH, NO_STICKERS_OUT_OF_VIDEOS, NO_DOWNLOADING_THEIR_VIDEOS",,,,"No one can:
Duet, Stitch, or download your videos. Create stickers from your videos."
TikTok41,TikTok,2022,"Enhancing the LIVE community experience with new features, updates, and policies",https://newsroom.tiktok.com/en-us/enhancing-the-live-community-experience,Teens (13-17),Platform,Platform,Audience Age Settings,Content Exposure,,POSSIBLE_AGE_RESTRICTIONS_LIVE_CONTENT,,,,"Currently, people must be aged 16 or over to host a LIVE. From November 23, the minimum age will increase from 16 to 18. In addition, in the coming weeks, we plan to introduce a new way for creators to choose if they'd prefer to only reach an adult audience in their LIVE."
TikTok3,TikTok,2019,TikTok's Top 10 Tips for Parents,https://newsroom.tiktok.com/en-us/tiktoks-top-10-tips-for-parents,Teens (13-17),Teen,Teens,Reporting Content,Content Exposure,REPORT_CONTENT,REPORT_USERS,,,,"If your teen sees anything that they believe violates these guidelines, they can report content or a profile directly from within the app."
YouTube6,YouTube,2020,Using technology to more consistently apply age restrictions,https://blog.youtube/news-and-events/using-technology-more-consistently-apply-age-restrictions/,ChildrenUnder18,Platform,Platform,Age Verification,Platform Access,,,PROOF_UPLOAD,,,"we will also be introducing a new age verification step over the next few months.  As part of this process some European users may be asked to provide additional proof of age when attempting to watch mature content. If our systems are unable to establish that a viewer is above the age of 18, we will request that they provide a valid ID or credit card to verify their age. "
YouTube60,YouTube,2024,Explore your Family Center,https://support.google.com/youtube/answer/15255618?hl=en&co=GENIE.Platform%3DDesktop,ChildrenUnder13,Parents,Parents,Individual Kid Profile,Parental Supervision,,,KID_PROFILE,,,"From the Family Center, you can also create new YouTube Kids profiles or a"
YouTube7,YouTube,2021,A new choice for parents of tweens and teens on YouTube,https://blog.youtube/news-and-events/supervised-experiences-for-families-on-youtube/,ChildrenUnder18,Parents,Parents,Platform Access Control,Platform Access,,,GRANT_PLATFORM_ACCESS,,,"When a parent grants access to YouTube, their child’s experience will feel much like regular YouTube, but certain features will be disabled to protect younger audiences"
YouTube7_1,YouTube,2021,Exploration starts here,https://www.youtube.com/myfamily/,ChildrenUnder13,Parents,Parents,Individual Kid Profile,Parental Supervision,,,KID_PROFILE,,,"Create individual profiles as unique as your kids

With personalized content selections and settings"
YouTube7_3,YouTube,2020,Create a Google Account for your child,https://support.google.com/families/answer/7103338?hl=en&ref_topic=7336731,ChildrenUnder13,Parents,Parents,Platform Access Control,Platform Access,,,GRANT_PLATFORM_ACCESS,,,"With a supervised Google Account, your child gets access to Google products like Search, Chrome, and Gmail. You can set up parental controls to help supervise them."
YouTube7_6,YouTube,2020,📢 YouTube Kids on Apple TV Title & Amazon Fire TV Devices,https://support.google.com/youtubekids/thread/49349707?hl=en,ChildrenUnder13,Parents,Parents,Platform Access Control,Platform Access,,,,,,"Parent Controls
If you choose to sign into the app on your TV, your parent controls and settings will transfer to the YouTube Kids experience on Apple TV. If you want to change any of your settings, you can do so in the app on a tablet or phone. Learn more in this Help Center article here."
YouTube7_8,YouTube,2016,Tips and tools for your family,https://www.youtube.com/kids/parent-resources/,ChildrenUnder13,Parents,Parents,Individual Kid Profile,Parental Supervision,,,,KID_PROFILE,,"Create individual profiles as unique as your kids.
Sign in and create up to eight kid profiles, each with its own content level selections, video recommendations and settings."
Meta11,Meta,2016,Why Instagram has age requirements,https://help.instagram.com/801322493288277/?helpref=search&query=youth&search_session_id=6bdc0e5502268f7d72d5ef137ca0068d&sr=30,Teens (13-17),Teem & Platform,Platform & Teens,Audience Age Settings,Content Exposure,RESTRICTED_ACCOUNT,,,,,"Why Instagram has age requirements
Some accounts, like alcohol brands, post content that’s meant for older audiences. These accounts may choose to restrict their content to people who are over a certain age. To determine whether you're able to see a restricted account, we may use information you provide on Instagram or on Facebook.
You may need to update your Instagram app to the most recent version to see restricted accounts.
"
Meta26,Meta,2020,Set up a minimum age for your Instagram account,https://help.instagram.com/853772598370828/?helpref=search&query=age&search_session_id=6cd497fe16568415a41d1b1ef5d5f6fe&sr=3,Teens (13-17),Teen Creator & Platform,Platform & Teens,Audience Age Settings,Content Exposure,MINIMUM_AGE,,,,,"You have the ability to control the age of your Instagram content’s viewers by setting up a minimum age for your account. You can choose to set up a default minimum age that will be applied everywhere, or you can set up country-specific minimum ages to follow local policies."
YouTube19,YouTube,2019,Set your channel or video’s audience,https://support.google.com/youtube/answer/9527654?hl=en&co=GENIE.Platform%3DAndroid,ChildrenUnder13,General Creators & Platform,General Creators & Platform,Audience Age Settings,Content Exposure,AUDIENCE_SETTING,,,,,"As a YouTube creator, you are required to set future and existing videos as made for kids or not. Even creators who don’t make content for kids need to set their audience. This will help ensure that we offer the appropriate features on your content."
YouTube25,YouTube,2020,Frequently asked questions about “made for kids”,https://support.google.com/youtube/answer/9684541?hl=en,ChildrenUnder13,General Creators & Platform,General Creators & Platform,Audience Age Settings,Content Exposure,AUDIENCE_SETTING,,,,,"Regardless of your location, you’re legally required to comply with the Children’s Online Privacy Protection Act and/or other laws. You’re required to tell us that your videos are made for kids if you make kids’ content"
YouTube3,YouTube,2019,An update on kids and data protection on YouTube,https://blog.youtube/news-and-events/an-update-on-kids/,ChildrenUnder13,General Creators & Platform,General Creators & Platform,Audience Age Settings,Content Exposure,AUDIENCE_SETTING,,,,,"In order to identify content made for kids, creators will be required to tell us when their content falls in this category, and we’ll also use machine learning to find videos that clearly target young audiences, for example those that have an emphasis on kids characters, themes, toys, or games."
YouTube4,YouTube,2020,Better protecting kids’ privacy on YouTube,https://blog.youtube/news-and-events/better-protecting-kids-privacy-on-youtube/,ChildrenUnder13,General Creators & Platform,General Creators & Platform,Audience Age Settings,Content Exposure,AUDIENCE_SETTING,,,,,"To help us identify made for kids content, in November we introduced a new audience setting in YouTube Studio to help creators indicate whether or not their content is made for kids. Creators know their content best, and should set the designation themselves. We also use machine learning to help us identify this content, and creators can update a designation made by our systems if they believe it is incorrect. We will only override a creator designation if abuse or error is detected."
Snapchat1,Snapchat,2020,Rewarding Creativity on Spotlight: Shining a Light on the Best Snaps,https://newsroom.snap.com/rewarding-creativity,ChildrenUnder16,Platform,Platform,Monetization Restrictions,Monetization,,,,"MINIMUM_AGE_16_TO_EARN, PARENTAL_CONSENT_TO_EARN",," Snapchatters must be 16 or older and, where applicable, obtain parental consent to earn."
Snapchat2,Snapchat,2020,Introducing Spotlight on Snapchat,https://newsroom.snap.com/introducing-spotlight,ChildrenUnder16,Platform,Platform,Monetization Restrictions,Monetization,,,,MINIMUM_AGE_16_TO_EARN,,"For the opportunity to earn money, the Snaps you submit to Spotlight must follow our content guidelines and Terms. You must be 16 or older to earn."
YouTube46,YouTube,2022,Upload art tracks as made for kids,https://support.google.com/youtube/answer/9609276?hl=en,ChildrenUnder13,General Creators & Platform,General Creators & Platform,Audience Age Settings,Content Exposure,AUDIENCE_SETTING,,,,,"As a YouTube creator, you are required to set future and existing videos as made for kids or not. Even creators who don’t make content for kids need to set their audience. This will help ensure that we offer the appropriate features on your content. 

To help you comply, we are introducing a new audience setting on YouTube Studio. You can set your audience:

At the channel level, which will set all of your future and existing content as made for kids or not. 
Or, at the video level. If you choose this option, you’ll need to set each existing and future video as made for kids or not. "
Snapchat36,Snapchat,2024,Crystals FAQ,https://help.snapchat.com/hc/en-us/articles/5909152630420-Crystals-FAQ,Teens (13-15),Platform,Platform,Monetization Restrictions,Monetization,,,,NO_RECEIVING_PAYMENT,,"To be eligible to receive payments, you must have reached the legal age of majority in your jurisdiction or be at least 16 years old with the consent of your parent(s)/legal guardian(s)."
Snapchat4,Snapchat,2021,Challenge Accepted: Announcing A New Way to Win Money on Spotlight,https://newsroom.snap.com/spotlight-challenges,ChildrenUnder16,Platform,Platform,Monetization Restrictions,Monetization,,,,MINIMUM_AGE_16_TO_EARN,,Spotlight Challenges will be rolling out next month to Snapchatters 16+ in the U.S.
Meta1,Meta,2024,Tips for Parents,https://help.instagram.com/154475974694511/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=11,Teens (13-17),Platform,Platform,Content Collaboration Restrictions,Content Creation,,,,,NO_REMIX,"When teens 13-17 sign up for a new Instagram account, they will be defaulted to private accounts. With the introduction of Teen Accounts, existing accounts for teens under 16 will be set to private, even if their accounts were previously public. 

""Private Accounts
Teens under 18 years old have their account set to private as a default when they join Instagram.""

""Audience Controls
As of May 2022, when teens under 18 sign up for Instagram, accounts they don’t follow cannot tag, mention or use their content in Reels Remixes or Guides by default.
""

""Direct Messaging
We restrict adults over 18 from starting private chats with teens they're not connected to on Instagram and Messenger.""

We don’t show teen accounts in Explore, Reels or ‘Accounts Suggested For You’ to these adults.

If these adults find young people’s accounts by searching for their usernames, they do not have the option to follow them."
Meta14,Meta,2022,Introducing the “Restrict” Feature to Protect Against Bullying,https://about.instagram.com/blog/announcements/stand-up-against-bullying-with-restrict,Teens (13-17),Teens (13-17),Teens,Content Collaboration Restrictions,Content Creation,,,,,NO_REMIX,"prevent them from tagging or mentioning you in their posts, or remixing your Reels."
Meta18_1,Meta,2024,Instagram Teen Accounts,https://about.instagram.com/community/teen-accounts,Teens (13-17),Platform,Platform,Content Collaboration Restrictions,Content Creation,,,,,NO_REMIX,"Teen Accounts are automatically set to only allow tags, mentions and content remixing by people they follow."
TikTok17,TikTok,2021,Strengthening privacy and safety for youth on TikTok,https://newsroom.tiktok.com/en-us/strengthening-privacy-and-safety-for-youth,Teens (13-17),Platform,Platform,Purchase Restrictions,Monetization,,,,"RESTRICTED_VIRTUAL_GIFT_BUYING, RESTRICTED_VIRTUAL_GIFT_SENDING, RESTRICTED_VIRTUAL_GIFT_RECEIVING",,"Restricting the buying, sending, and receiving of virtual gifts to users below 18."
Meta75,Meta,2024,About Instagram Teen Accounts,https://help.instagram.com/995996839195964/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=6,Teens (13-17),Platform,Platform,Content Collaboration Restrictions,Content Creation,,,,,NO_REMIX,"Tags, mentions and content remixing: Teen Accounts are automatically set to only allow tags and mentions by people who they follow. Content remixing is automatically set to people they follow and follow them back."
TikTok17_1,TikTok,2019,Updating our gifting policies to protect our community,https://newsroom.tiktok.com/en-gb/updating-our-gifting-policies,Teens (13-17),Platform,Platform,Purchase Restrictions,Monetization,,,,"NO_GIFT_BUYING, NO_GIFT_SENDING, NO_GIFT_RECEIVING",,
Meta76,Meta,2022,About Instagram teen privacy and safety settings,https://help.instagram.com/3237561506542117/?helpref=search&query=teen&search_session_id=a2bf3bf8ea1c5debe7fbc0da7bd42645&sr=2,Teens (13-17),Platform,Platform,Content Collaboration Restrictions,Content Creation,,,CONTENT_COLLAB_CONTROL,,,
TikTok25_1,TikTok,2020,Why we're making changes to Direct Messaging,https://newsroom.tiktok.com/en-gb/why-we-re-making-changes-to-direct-messaging,Teens (13-17),Platform,Platform,Monetization Restrictions,Monetization,,,,"NO_GIFT_BUYING, NO_GIFT_SENDING, NO_GIFT_RECEIVING",,"Changing our virtual gifting policies to only allow those over 18 to purchase, send, or receive virtual gifts."
Meta90,Meta,2024,How Meta products and tools support age-appropriate experiences,https://about.meta.com/actions/safety/resource/f/871648470589685/,Teens (13-17),Platform,Platform,Content Collaboration Restrictions,Content Creation,,,,,CONNECTION_ONLY_REMIX,
TikTok16,TikTok,2020,Supporting creative expression in 2020 and beyond,https://newsroom.tiktok.com/en-us/year-on-tiktok-trust-and-safety-2020,Teens (13-17),Platform,Platform,Content Creation Restrictions,Content Creation,,,NO_LIVE_STREAMING_UNDER_16,,,"With their input, we developed Family Pairing and our Youth Portal to educate teens about digital literacy and foster conversations about online safety within families. Based on youth-safety research, direct messaging and live streaming aren’t available for registered accounts under 16 as we work to reduce the potential for negative experiences or harm. "
TikTok17,TikTok,2021,Strengthening privacy and safety for youth on TikTok,https://newsroom.tiktok.com/en-us/strengthening-privacy-and-safety-for-youth,Teens (13-15),Platform,Platform,Content Collaboration Restrictions,Content Creation,,,,,"NO_DUETS, NO_STITCHES",
TikTok17,TikTok,2021,Strengthening privacy and safety for youth on TikTok,https://newsroom.tiktok.com/en-us/strengthening-privacy-and-safety-for-youth,Teens (16-17),Platform,Platform,Content Collaboration Restrictions,Content Creation,,,,,"DEFAULT_SETTING_DUET_ONLY_FRIENDS, DEFAULT_SETTING_STITCH_ONLY_FRIENDS, DOWNLOADING_THEIR_VIDEOS_POSSIBLE, DEFAULT_NO_DOWNLOADING_THEIR_VIDEOS","Changing Duet and Stitch settings to now make these features available on content created by users age 16 and over only. For users ages 16-17, the default setting for Duet and Stitch will now be set to Friends. Allowing downloads of videos that have been created by users 16 and over only. Other users can decide whether they want to allow downloads of their videos, though for users ages 16-17 the default setting will now be changed to Off unless they decide to enable it."
TikTok17_1,TikTok,2019,Updating our gifting policies to protect our community,https://newsroom.tiktok.com/en-gb/updating-our-gifting-policies,ChildrenUnder16,Platform,Platform,Content Creation Restrictions,Content Creation,,,NO_LIVESTREAMING,,,"While we will continue to have a 16+ age limit for a user to host a live-stream, our updated policy will only allow those aged 18 and over to purchase, send, or receive virtual gifts. Before today, anyone older than 13 was allowed to send virtual gifts, and anyone over 16 could receive them"
TikTok25,TikTok,2021,Furthering our safety and privacy commitments for teens on TikTok,https://newsroom.tiktok.com/en-us/furthering-our-safety-and-privacy-commitments-for-teens-on-tiktok-us,ChildrenUnder16,Platform,Platform,Content Collaboration Restrictions,Content Creation,,,,,"NO_DUET, NO_STITCH",
TikTok63,TikTok,2025,Teen Safety Center,https://www.tiktok.com/safety/en/youth-portal-1,ChildrenUnder16,Platform,Platform,Purchase Restrictions,Monetization,,,,NO_SENDING_GIFTS,,You can watch TikTok LIVE but can't go LIVE or send a Gift during a LIVE
TikTok3,TikTok,2019,TikTok's Top 10 Tips for Parents,https://newsroom.tiktok.com/en-us/tiktoks-top-10-tips-for-parents,Teens (13-17),Teen,Teens,Content Collaboration Restrictions,Content Creation,,,,,CONTROL_DUET_SETTINGS,your teen has the control to decide who can make duets with or react to their content.
TikTok63,TikTok,2025,Teen Safety Center,https://www.tiktok.com/safety/en/youth-portal-1,Teens (16-17),"Platform, Teen",Platform & Teens,Purchase Restrictions,Monetization,,,,NO_SENDING_GIFTS,,
TikTok65,TikTok,2025,Live safety guide,https://www.tiktok.com/safety/en/live-safety-guide,Teens (13-17),Platform,Platform,Monetization Restrictions,Monetization,,,,"NO_SENDING_GIFTS, NO_RECEIVING_GIFTS",,"Creators must be 18+ to go LIVE and people must be 18+ to send and receive LIVE Gifts (*must be 19 to send Gifts in South Korea). Additionally, if age-restricted content is identified during the LIVE it won't be recommended for people between the ages of 13 - 17. LIVE creators are notified and can choose to disconnect co-hosts or remove guests whose LIVE content has been flagged as age-restricted."
TikTok4,TikTok,2019,TikTok Parental Guide,https://newsroom.tiktok.com/en-us/tiktok-parental-guide,Teens (13-17),Platform/Teen,Platform & Teens,Content Collaboration Restrictions,Content Creation,,,,,RESTRICT_DUETS,we give you the option to decide who can make duets with or react to your content. 
TikTok67,TikTok,2025,Guardian's guide,https://www.tiktok.com/safety/en/guardians-guide,Teens (13-17),Platform,Platform,Monetization Restrictions,Monetization,,,NO_GOING_LIVE,NO_TIKTOK_SHOP,,Only accounts for those ages 18 or older can go LIVE. Accounts for teens under 16 don't have access to direct messaging or group chat (where available).
YouTube1_1,YouTube,2019,Update on our actions related to the safety of minors on YouTube,https://support.google.com/youtube/thread/1805616,ChildrenUnder18,Platform,Platform,Monetization Restrictions,Monetization,,,,,NO_MONETIZATION,
TikTok41,TikTok,2022,"Enhancing the LIVE community experience with new features, updates, and policies",https://newsroom.tiktok.com/en-us/enhancing-the-live-community-experience,Teens (13-17),Platform,Platform,Content Creation Restrictions,Content Creation,,,NO_GOING_LIVE,,,"Currently, people must be aged 16 or over to host a LIVE. From November 23, the minimum age will increase from 16 to 18. In addition, in the coming weeks, we plan to introduce a new way for creators to choose if they'd prefer to only reach an adult audience in their LIVE."
